,Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
0,Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,61582.8
1,Volkswagen ,ID.3 Pure,10.0,160,270,167,250.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,33300.0
2,Polestar ,2,4.7,210,400,181,620.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,62648.40000000001
3,BMW ,iX3 ,6.8,180,360,206,560.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,75524.40000000001
4,Honda ,e ,9.5,145,170,168,190.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,36626.670000000006
5,Lucid ,Air ,2.8,250,610,180,620.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,116550.00000000001
6,Volkswagen ,e-Golf ,9.6,150,190,168,220.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,35409.0
7,Peugeot ,e-208 ,8.1,150,275,164,420.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,32947.020000000004
8,Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,51481.8
9,Audi ,Q4 e-tron ,6.3,180,400,193,540.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,61050.00000000001
10,Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,77127.24
11,Nissan ,Leaf ,7.9,144,220,164,230.0,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,32449.74
12,Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,45282.450000000004
13,BMW ,i4 ,4.0,200,450,178,650.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,72150.0
14,Hyundai ,IONIQ Electric,9.7,165,250,153,210.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Liftback,C,5,38249.490000000005
15,Volkswagen ,ID.3 Pro S,7.9,160,440,175,590.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,45438.96000000001
16,Porsche ,Taycan Turbo S,2.8,260,375,223,780.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,200666.91
17,Volkswagen ,e-Up! ,11.9,130,195,166,170.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,23777.31
18,MG ,ZS EV,8.2,140,220,193,260.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,33300.0
19,Mini ,Cooper SE ,7.3,150,185,156,260.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,35165.91
20,Opel ,Corsa-e ,8.1,150,275,164,420.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,32352.06
21,Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,7,65068.200000000004
22,Skoda ,Enyaq iV 50,10.0,160,290,179,230.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,38850.0
23,Audi ,e-tron GT ,3.5,240,425,197,850.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,138750.0
24,Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,68242.8
25,Volkswagen ,ID.4 ,7.5,160,420,183,560.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,49950.00000000001
26,Volkswagen ,ID.3 Pro,9.0,160,350,166,490.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,36630.0
27,Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,67085.07
28,BMW ,i3 120 Ah,7.3,150,235,161,270.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,42198.87
29,Peugeot ,e-2008 SUV ,8.5,150,250,180,380.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,38140.71000000001
30,Audi ,e-tron 50 quattro,6.8,190,280,231,450.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,74767.38
31,Kia ,e-Niro 64 kWh,7.8,167,370,173,350.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,42296.55
32,Renault ,Zoe ZE50 R110,11.4,135,315,165,230.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,34614.240000000005
33,Tesla ,Cybertruck Tri Motor,3.0,210,750,267,710.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Pickup,N,6,83250.00000000001
34,Mazda ,MX-30 ,9.0,150,180,178,240.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,36237.060000000005
35,Nissan ,Leaf e+,7.3,157,325,172,390.0,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,41333.07000000001
36,Lexus ,UX 300e,7.5,160,270,193,190.0,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,SUV,C,5,55500.00000000001
37,CUPRA ,el-Born ,6.5,160,425,181,570.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,49950.00000000001
38,Renault ,Zoe ZE50 R135,9.5,140,310,168,230.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,36777.630000000005
39,Mercedes ,EQA ,5.0,200,350,171,440.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,49950.00000000001
40,Tesla ,Model S Long Range,3.8,250,515,184,560.0,Rapid charging possible,All Wheel Drive,Type 2,Liftback,F,5,88788.90000000001
41,Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,37707.810000000005
42,Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,90619.29000000001
43,Skoda ,CITIGOe iV ,12.3,130,195,166,170.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,27232.74
44,SEAT ,Mii Electric ,12.3,130,195,166,170.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,22343.190000000002
45,Kia ,e-Soul 64 kWh,7.9,167,365,175,340.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,40889.07000000001
46,Opel ,Ampera-e ,7.3,150,335,173,210.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,MPV,B,5,46515.66
47,Porsche ,Taycan 4S,4.0,250,365,195,730.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,114268.95000000001
48,Lightyear ,One ,10.0,150,575,104,540.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,F,5,165390.00000000003
49,Aiways ,U5 ,9.0,150,335,188,350.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,40023.270000000004
50,Audi ,e-tron 55 quattro,5.7,200,365,237,590.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,88183.95000000001
51,Tesla ,Roadster ,2.1,410,970,206,920.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Cabrio,S,4,238650.00000000003
52,Opel ,Mokka-e ,8.5,150,255,176,390.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,38850.0
53,Skoda ,Enyaq iV 80,8.8,160,420,183,560.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,44400.00000000001
54,Tesla ,Model X Long Range,4.6,250,450,211,490.0,Rapid charging possible,All Wheel Drive,Type 2,SUV,F,7,95448.90000000001
55,Honda ,e Advance,8.3,145,170,168,190.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,39872.310000000005
56,DS ,3 Crossback E-Tense,8.7,150,250,180,380.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,41538.420000000006
57,Renault ,Twingo ZE,12.6,135,130,164,,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,4,27516.9
