origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour,quarter
LAS,2015,1,1,0,40,4,21.8,70,11.5078,13.24294608,0,1013.9,10,1/1/2015 0:00,1
LAS,2015,1,1,1,39,14,35.51,80,10.35702,11.91865148,0,1014.1,10,1/1/2015 1:00,1
LAS,2015,1,1,2,39,16,38.72,70,14.96014,17.21582991,0,1014.6,10,1/1/2015 2:00,1
LAS,2015,1,1,3,37,18,45.58,NA,5.7539,6.621473042,0,1015.4,10,1/1/2015 3:00,1
LAS,2015,1,1,4,37,16,41.84,170,5.7539,6.621473042,0,1015.4,10,1/1/2015 4:00,1
LAS,2015,1,1,5,36,18,47.57,180,4.60312,5.297178434,0,1015.9,10,1/1/2015 5:00,1
LAS,2015,1,1,6,36,18,47.57,0,0,0,0,1015.9,10,1/1/2015 6:00,1
LAS,2015,1,1,7,35,17,47.42,210,8.05546,9.270062259,0,1015.4,10,1/1/2015 7:00,1
LAS,2015,1,1,8,35,18,49.3,200,8.05546,9.270062259,0,NA,10,1/1/2015 8:00,1
LAS,2015,1,1,9,32,17,53.6,190,10.35702,11.91865148,0,1015.9,10,1/1/2015 9:00,1
LAS,2015,1,1,10,33,16,48.98,200,9.20624,10.59435687,0,1016.1,10,1/1/2015 10:00,1
LAS,2015,1,1,11,31,17,55.99,160,5.7539,6.621473042,0,1016.5,10,1/1/2015 11:00,1
LAS,2015,1,1,12,33,15,47.1,200,6.90468,7.94576765,0,1016.9,10,1/1/2015 12:00,1
LAS,2015,1,1,13,32,16,51.15,190,8.05546,9.270062259,0,1018.1,10,1/1/2015 13:00,1
LAS,2015,1,1,14,30,14,50.84,190,9.20624,10.59435687,0,1018.8,10,1/1/2015 14:00,1
LAS,2015,1,1,15,32,17,53.6,190,10.35702,11.91865148,0,1019.5,10,1/1/2015 15:00,1
LAS,2015,1,1,16,35,19,51.64,200,8.05546,9.270062259,0,1020.4,10,1/1/2015 16:00,1
LAS,2015,1,1,17,39,18,42.18,140,3.45234,3.972883825,0,1020.9,10,1/1/2015 17:00,1
LAS,2015,1,1,18,39,16,38.72,180,5.7539,6.621473042,0,1020.1,10,1/1/2015 18:00,1
LAS,2015,1,1,19,43,14,30.47,0,0,0,0,1019.4,10,1/1/2015 19:00,1
LAS,2015,1,1,20,43,12,27.92,180,6.90468,7.94576765,0,1018.6,10,1/1/2015 20:00,1
LAS,2015,1,1,21,45,10,23.7,180,5.7539,6.621473042,0,1018,10,1/1/2015 21:00,1
LAS,2015,1,1,22,46,9,21.68,180,3.45234,3.972883825,0,1018.4,10,1/1/2015 22:00,1
LAS,2015,1,1,23,44,10,24.53,140,3.45234,3.972883825,0,1018.8,10,1/1/2015 23:00,1
LAS,2015,1,2,0,42,11,27.55,100,4.60312,5.297178434,0,1019.2,10,1/2/2015 0:00,1
LAS,2015,1,2,1,40,13,32.7,160,5.7539,6.621473042,0,1020.1,10,1/2/2015 1:00,1
LAS,2015,1,2,2,40,15,35.95,150,5.7539,6.621473042,0,1020.6,10,1/2/2015 2:00,1
LAS,2015,1,2,3,38,15,38.84,190,4.60312,5.297178434,0,1020.9,10,1/2/2015 3:00,1
LAS,2015,1,2,4,36,14,40.05,230,6.90468,7.94576765,0,1021,10,1/2/2015 4:00,1
LAS,2015,1,2,5,34,14,43.34,230,6.90468,7.94576765,0,1020.7,10,1/2/2015 5:00,1
LAS,2015,1,2,6,33,14,44.92,200,9.20624,10.59435687,0,1020.8,10,1/2/2015 6:00,1
LAS,2015,1,2,7,32,14,46.92,210,5.7539,6.621473042,0,1020.6,10,1/2/2015 7:00,1
LAS,2015,1,2,8,32,13,44.74,190,8.05546,9.270062259,0,1020.4,10,1/2/2015 8:00,1
LAS,2015,1,2,9,30,11,44.41,210,8.05546,9.270062259,0,1020.7,10,1/2/2015 9:00,1
LAS,2015,1,2,10,30,12,46.59,200,10.35702,11.91865148,0,1020.3,10,1/2/2015 10:00,1
LAS,2015,1,2,11,29,12,48.69,200,5.7539,6.621473042,0,1020.6,10,1/2/2015 11:00,1
LAS,2015,1,2,12,30,13,48.48,200,8.05546,9.270062259,0,1020.4,10,1/2/2015 12:00,1
LAS,2015,1,2,13,29,12,48.69,210,8.05546,9.270062259,0,1021.1,10,1/2/2015 13:00,1
LAS,2015,1,2,14,29,12,48.69,200,10.35702,11.91865148,0,1021.3,10,1/2/2015 14:00,1
